銘柄コード,企業名,売上高,売上原価,売上総利益,営業利益,経常利益,特別損益収支,当期純利益,業種,市場
1815,鉄建,"130,431","122,795","7,636","1,323","1,393",174,-110,建設業,東1
1819,太平工業,"144,873","125,826","19,047","9,243","9,267",-820,"4,186",建設業,東1
1820,西松建設,"263,928","249,000","14,928","2,651","3,420","-1,023","2,732",建設業,東1
1821,三井住友建設,"313,558","294,522","19,036","4,691","3,311",-267,"1,374",建設業,東1
1822,大豊建設,"101,179","96,147","5,032",591,276,-535,-499,建設業,東1
1824,前田建設工業,"313,327","287,221","26,106","5,299","5,290","-1,194","3,197",建設業,東1
1826,佐田建設,"22,899","21,269","1,630",284,267,396,605,建設業,東1
1827,ナカノフドー建設,"110,344","105,271","5,073",229,275,-417,"-2,024",建設業,東1
1828,田辺工業,"21,703","19,007","2,696",478,496,-15,171,建設業,東2
1832,北海電気工事,"49,507","47,037","2,470",672,906,-89,219,建設業,札幌
1833,奥村組,"179,284","167,052","12,232","-3,939","-2,828",-347,"-2,958",建設業,東1
1834,小田急建設,"62,243","57,890","4,353",274,235,355,316,建設業,東1
1835,東鉄工業,"86,945","75,003","11,942","6,610","6,970",-385,"3,607",建設業,東1
1840,土屋ホーム,"25,734","18,229","7,505",679,734,-47,485,建設業,東2
1841,サンユー建設,"4,862","4,321",541,281,272,0,143,建設業,JQ
1844,大盛工業,"2,613","2,454",159,-80,-98,-8,-111,建設業,東2
1846,鈴縫工業,"13,418","11,566","1,852",742,736,-132,330,建設業,東2
1847,イチケン,"58,157","55,728","2,429",818,"1,032",-7,551,建設業,東1
1848,富士ピー・エス,0,0,0,0,0,0,0,建設業,大2
1850,南海辰村建設,"37,395","34,542","2,853",859,718,-130,566,建設業,大2
1852,淺沼組,"140,462","141,181",-719,"-7,223","-7,467",-998,"-8,496",建設業,東1
1853,森組,"34,955","33,288","1,667",450,325,19,312,建設業,大2
1860,戸田建設,"489,385","474,239","15,146","-7,994","-6,690","-6,325","-19,872",建設業,東1
1861,熊谷組,"257,581","243,196","14,385","2,454","2,904",-70,"1,593",建設業,東1
1865,青木あすなろ建設,"91,277","83,829","7,448","1,250","2,147",-265,"1,524",建設業,東1
1866,北野建設,"52,351","47,596","4,755","1,066","1,344",-216,900,建設業,東1
1867,植木組,"34,981","31,578","3,403",564,608,18,287,建設業,東1
1868,三井ホーム,"216,838","164,599","52,239","4,187","4,338","1,867","2,925",建設業,東1
1869,名工建設,"75,710","68,954","6,756","1,979","2,090",54,"1,266",建設業,名2
1870,矢作建設工業,"62,400","50,216","12,184","3,100","2,635",-11,"1,295",建設業,東1
1871,ピーエス三菱,"93,495","86,664","6,831",488,230,508,728,建設業,東1
1873,東日本ハウス,"54,631","34,052","20,579","5,031","4,402",-69,"4,297",建設業,JQ
1875,青木マリーン,"5,373","4,939",434,87,116,1,113,建設業,大2
1878,大東建託,"1,087,128","872,984","214,144","81,975","84,239","2,372","47,103",建設業,東1
1879,新日本建設,"60,641","54,822","5,819","2,800","2,590",0,"1,470",建設業,東1
1881,ＮＩＰＰＯコーポレーション,"376,523","340,179","36,344","16,332","16,998","-2,641","7,474",建設業,東1
1882,東亜道路工業,"103,156","94,303","8,853","2,715","2,330",-175,"1,853",建設業,東1
1883,前田道路,"204,935","180,276","24,659","14,538","15,329","-1,531","7,603",建設業,東1
1884,日本道路,"134,410","122,298","12,112","4,175","4,229",-205,"2,132",建設業,東1
1885,東亜建設工業,"136,007","124,264","11,743","1,433","1,013",336,678,建設業,東1
1888,若築建設,"46,823","42,060","4,763",666,443,-31,314,建設業,東1
1890,東洋建設,"107,957","99,753","8,204","1,888","1,204",133,918,建設業,東1
1892,徳倉建設,"38,102","35,589","2,513",115,-180,-952,"-1,403",建設業,名2
1893,五洋建設,"328,004","303,821","24,183","8,982","7,448","-1,139","1,622",建設業,東1
1896,大林道路,"81,837","75,715","6,122","1,615","1,610",68,612,建設業,東1
1897,金下建設,"13,319","12,852",467,-492,-278,-532,-797,建設業,大2
1898,世紀東急工業,"64,818","58,635","6,183","2,294","2,178",-208,"1,886",建設業,東1
1899,福田組,"111,431","101,875","9,556","2,813","2,904",-24,"2,729",建設業,東1
1905,テノックス,"17,628","16,042","1,586",-291,-299,-11,-327,建設業,JQ
1906,細田工務店,"16,197","13,325","2,872",-314,-828,-45,-910,建設業,JQ
1911,住友林業,"831,870","694,997","136,873","19,191","20,714","-3,032","9,271",建設業,東1
1914,日本基礎技術,"16,090","14,733","1,357",-796,-597,1,-755,建設業,東1
1916,日成ビルド工業,"41,879","32,288","9,591","6,333","6,436","-3,224","2,196",建設業,東1
1919,エス・バイ・エル,"36,683","26,919","9,764",921,794,-268,421,建設業,東1
1921,巴コーポレーション,"20,698","18,257","2,441",710,773,-72,564,建設業,東1
1924,パナホーム,"293,152","224,931","68,221","10,665","10,881",-189,"6,123",建設業,東1
1925,大和ハウス工業,"1,848,797","1,468,846","379,951","114,955","108,506","-15,484","33,200",建設業,東1
1926,ライト工業,"73,982","63,796","10,186","2,255","2,280",-172,"1,678",建設業,東1
1928,積水ハウス,"1,530,577","1,255,254","275,323","70,897","70,075","-7,874","28,962",建設業,東1
1929,日特建設,"52,079","45,475","6,604","2,026","1,877",48,"1,823",建設業,東1
1930,北陸電気工事,"34,643","30,212","4,431","2,065","2,568",-727,670,建設業,東1
1931,日本電通,"22,097","19,418","2,679",451,520,0,298,建設業,大2
1933,西日本システム建設,"24,861","22,436","2,425",531,788,-90,291,建設業,大2
1934,ユアテック,"200,123","178,297","21,826","6,446","7,374","-1,319","-8,485",建設業,東1
1936,シーキューブ,"48,450","42,102","6,348","2,296","2,502",-169,"1,530",建設業,名1
1937,西部電気工業,"50,151","46,708","3,443",916,"1,143",-131,400,建設業,東1
1938,千歳電気工業,"50,493","44,038","6,455","3,265","5,171",47,"3,563",建設業,東2
1939,四電工,"69,181","61,827","7,354",850,"1,474",13,915,建設業,東1
1941,中電工,"110,332","95,814","14,518",-150,"1,859","-3,585","-3,121",建設業,東1
1942,関電工,"441,786","409,120","32,666","8,034","9,070",-933,"1,876",建設業,東1
