銘柄コード,企業名,売上高,売上原価,売上総利益,営業利益,経常利益,特別損益収支,当期純利益,業種,市場
3001,片倉工業,"47,226","29,583","17,643","1,837","2,318",-790,701,繊維製品,東1
3002,グンゼ,"136,621","102,718","33,903","1,023",975,"1,339",571,繊維製品,東1
3003,昭栄,"94,319","63,686","30,633","22,571","20,033","-1,930","11,487",不動産業,東1
3004,神栄,"46,446","36,576","9,870",483,300,-81,-114,卸売業,東1
3010,上毛,"5,890","1,282","4,608",-253,-786,-653,"-1,442",不動産業,東2
3011,バナーズ,"2,280","1,724",556,85,95,44,121,卸売業,東2
3020,アプライド,"25,450","18,569","6,881",200,307,9,198,小売業,JQ
3021,パシフィックネット,"3,371",0,0,125,132,0,36,小売業,マザ
3022,山下医科器械,"44,366","38,961","5,405",443,525,-69,202,卸売業,東1
3023,ラサ商事,0,0,0,0,0,0,0,卸売業,東1
3024,クリエイト,"24,765","20,409","4,356",138,202,-3,3,卸売業,JQ
3027,レデイ薬局,"49,661","36,303","13,358",834,968,-802,-176,小売業,JQ
3028,アルペン,"196,009","109,653","86,356","11,188","12,365","-1,343","5,256",小売業,東1
3030,ハブ,"6,837","1,876","4,961",560,560,-70,274,小売業,HC
3031,ラクーン,"9,101","7,609","1,492",140,133,-2,109,卸売業,マザ
3034,クオール,"66,201","57,676","8,525","3,308","3,238",-227,"1,560",小売業,HC
3035,ケイティケイ,"10,387","7,730","2,657",25,18,-127,-78,卸売業,JQ
3036,アルコニックス,"220,703","210,061","10,642","4,687","4,499",-45,"2,450",卸売業,JQ
3037,スタイライフ,"8,041","5,321","2,720",-413,-419,-69,-550,小売業,HC
3038,神戸物産,"157,412","146,422","10,990","4,234","4,709",-176,"2,123",卸売業,大2
3040,ソリトンシステムズ,"10,531","6,826","3,705",413,487,-31,288,卸売業,JQ
3041,ビューティ花壇,"4,436","3,643",793,154,155,37,123,卸売業,マザ
3042,セキュアヴェイル,978,657,321,15,15,0,14,卸売業,HC
3043,モジュレ,"1,511","1,138",373,85,88,-6,72,卸売業,HC
3045,カワサキ,"2,430","1,176","1,254",333,294,0,167,卸売業,大2
3046,ジェイアイエヌ,"22,613","5,599","17,014","2,633","2,551",-396,"1,089",小売業,HC
3048,ビックカメラ,"518,057","392,538","125,519","4,069","6,178","-1,524","4,007",小売業,JQ
3050,ＤＣＭ　Ｊａｐａｎホールディングス,"441,906","306,437","135,469","19,753","19,595","-4,850","8,120",小売業,東1
3053,ペッパーフードサービス,"5,239","2,615","2,624",104,94,-37,14,卸売業,マザ
3054,ハイパーコンセプション,"16,583","14,409","2,174",173,168,25,107,卸売業,JQ
3058,三洋堂書店,"27,635","19,359","8,276",633,613,-140,128,小売業,JQ
3059,ヒラキ,"21,664","13,221","8,443",721,589,-762,-344,小売業,東2
3060,マガシーク,"9,698","7,191","2,507",252,255,-5,138,小売業,マザ
3063,ジェイプロジェクト,"9,514","2,863","6,651",219,266,41,122,小売業,マザ
3064,ＭｏｎｏｔａＲＯ,"28,742","20,509","8,233","2,925","2,941",0,"1,689",小売業,マザ
3065,ライフフーズ,"11,854","3,566","8,288",329,357,-71,196,小売業,JQ
3067,東京一番フーズ,"3,243",935,"2,308",163,185,-1,169,小売業,マザ
3068,ＷＤＩ,"16,091","4,011","12,080",535,443,-169,94,小売業,JQ
3069,アスラポート・ダイニング,"7,307","3,906","3,401",286,270,-21,241,小売業,HC
3071,ストリーム,"33,986","30,662","3,324",-3,23,-45,-33,小売業,マザ
3075,銚子丸,"17,906","7,388","10,518",896,926,-56,435,小売業,JQ
3076,あい　ホールディングス,"28,156","17,403","10,753","3,542","3,970",-112,"2,406",卸売業,東1
3077,ホリイフードサービス,"6,795","1,887","4,908",552,557,-185,174,小売業,JQ
3079,ディーブイエックス,"20,487","16,761","3,726",892,873,-6,476,卸売業,JQ
3080,ジェーソン,"19,606","14,741","4,865",229,272,-116,163,小売業,HC
3082,きちり,"5,777","1,481","4,296",444,503,-13,257,小売業,HC
3083,シーズメン,"7,258","3,710","3,548",207,188,-150,-38,小売業,HC
3085,アークランドサービス,"12,797","5,347","7,450","1,962","2,013",-79,"1,111",小売業,JQ
3086,Ｊ．フロント　リテイリング,"941,415","714,769","226,646","21,594","22,941","-6,228","18,804",小売業,東1
3087,ドトール・日レスホールディングス,"107,721","44,764","62,957","7,096","7,475","-1,799","2,513",小売業,東1
3088,マツモトキヨシホールディングス,"434,597","312,111","122,486","18,105","19,639","-1,399","9,955",小売業,東1
3089,テクノアルファ,"3,032","2,070",962,252,358,-45,175,卸売業,HC
3090,ナチュラム,"4,806","3,513","1,293",-121,-130,-55,-214,小売業,HC
3091,ブロンコビリー,"9,983","2,649","7,334","1,403","1,432",11,869,小売業,JQ
3092,スタートトゥデイ,"31,806","7,554","24,252","7,704","7,617",203,"4,634",小売業,マザ
3101,東洋紡,"349,505","274,804","74,701","18,305","15,730","-4,867","4,587",繊維製品,東1
3104,富士紡ホールディングス,"36,282","24,481","11,801","3,500","3,191","-1,018","1,306",繊維製品,東1
3105,日清紡,"379,340","317,535","61,805","4,170","8,680","-5,648","9,415",繊維製品,東1
3106,クラボウ,"159,081","134,551","24,530","3,988","4,052",-175,"2,716",繊維製品,東1
3107,ダイワボウ,"489,543","443,846","45,697","7,069","6,124",-50,"3,347",繊維製品,東1
3109,シキボウ,"45,870","37,214","8,656","2,843","2,090",-260,"1,134",繊維製品,東1
3110,日東紡,"82,638","58,536","24,102","5,929","5,496","-1,295","1,433",ガラス・土石製品,東1
3111,オーミケンシ,"16,395","13,522","2,873",347,68,-259,311,繊維製品,東2
3113,Ｏａｋ　キャピタル,926,0,0,-645,-656,0,-659,その他金融業,東2
3116,トヨタ紡織,"964,295","885,099","79,196","20,910","23,225","-3,288","3,232",輸送用機器,東1
3121,アセット・インベスターズ,"3,582","1,403","2,179",-458,-467,-156,-669,サービス業,大2
3123,サイボー,"9,223","6,223","3,000","1,516","1,541",-337,546,繊維製品,東2
3125,新内外綿,"4,954","4,172",782,99,100,0,47,繊維製品,大2
3201,日本毛織,"97,357","74,878","22,479","5,337","5,401",-289,"3,261",繊維製品,東1
3202,大東紡織,"8,101","5,979","2,122",388,56,0,31,繊維製品,東1
3204,トーア紡コーポレーション,"18,077","14,642","3,435",746,539,-32,482,繊維製品,東1
3205,ダイドーリミテッド,"29,553","15,169","14,384","1,352","1,691",-228,380,繊維製品,東1
3209,カネヨウ,"10,261","9,612",649,93,37,-10,25,卸売業,大2
3225,東京建物不動産販売,"23,255","19,868","3,387","1,813","1,515",34,740,不動産業,東1
3228,三栄建築設計,"48,634","40,081","8,553","5,318","4,895",0,"2,725",不動産業,名セ
3230,スター・マイカ,"12,857","10,087","2,770","1,541",989,0,538,不動産業,HC
3231,野村不動産ホールディングス,"450,807","335,898","114,909","49,939","34,173","-9,205","17,591",不動産業,東1
3232,三交ホールディングス,"106,724","83,191","23,533","4,389","3,630","-1,162","1,349",不動産業,名1
3235,トラストパーク,"8,588","6,648","1,940",605,482,-32,219,不動産業,福Q
3236,プロパスト,"3,023","2,191",832,253,160,-85,71,不動産業,JQ
3237,イントランス,"1,702",966,736,345,293,0,331,不動産業,マザ
3238,セントラル総合開発,"16,227","13,400","2,827",593,300,-1,225,不動産業,東2
3241,ウィル不動産販売,"3,179","2,446",733,375,345,0,326,不動産業,JQ
3242,アーバネットコーポレーション,"6,818","5,564","1,254",461,422,0,421,不動産業,JQ
3243,ダイヨシトラスト,"4,488","3,564",924,630,528,-24,272,不動産業,福Q
3244,サムティ,"10,870","6,992","3,878","1,737",185,903,"1,134",不動産業,HC
3245,ディア・ライフ,"1,915","1,444",471,131,121,2,122,不動産業,マザ
3246,コーセーアールイー,"3,634","2,540","1,094",205,197,3,96,不動産業,福岡
3248,アールエイジ,"3,933","2,980",953,411,380,0,214,不動産業,マザ
3251,駐車場綜合研究所,"4,595","3,884",711,150,147,-1,68,不動産業,マザ
3302,帝国繊維,"33,805","24,568","9,237","5,763","5,881",-16,"3,436",繊維製品,東1
3306,日本製麻,"5,220","4,032","1,188",86,58,-115,-186,卸売業,東2
3313,ブックオフコーポレーション,"75,716","32,416","43,300","3,432","3,803",-357,"1,867",小売業,東1
3315,三井鉱山,"125,971","110,967","15,004","8,517","7,180",-95,"4,703",卸売業,東1
3316,東京日産コンピュータシステム,"9,419","8,227","1,192",240,241,-7,133,卸売業,JQ
3317,フライングガーデン,"7,109","2,232","4,877",218,209,-4,71,小売業,JQ
3319,ゴルフダイジェスト・オンライン,"12,884","7,453","5,431",-159,-168,107,-65,小売業,マザ
3321,ミタチ産業,"37,202","34,480","2,722",723,820,"-1,139",-185,卸売業,東1
3322,アルファグループ,"22,996","20,313","2,683",419,425,11,226,卸売業,JQ
3323,レカム,"4,423","3,246","1,177",24,14,13,25,卸売業,HC
3325,ケンコーコム,"17,167","11,647","5,520",-519,-552,-109,-701,小売業,マザ
3326,ランシステム,"7,406","6,076","1,330",340,409,-72,161,小売業,JQ
3328,ネットプライスドットコム,"9,949","5,477","4,472",-310,-130,-161,-351,小売業,マザ
3329,東和フードサービス,"10,013","2,705","7,308",556,542,-93,210,小売業,JQ
3331,雑貨屋ブルドッグ,"11,257","4,938","6,319",628,655,-179,124,小売業,JQ
3333,あさひ,"35,538","17,118","18,420","4,428","4,496",-231,"2,409",小売業,東1
3341,日本調剤,"130,041","108,003","22,038","5,464","4,941",-124,"2,085",小売業,東1
3344,ワンダーコーポレーション,"65,689","48,925","16,764","1,273","1,379","-1,448",-331,小売業,JQ
3346,２１ＬＡＤＹ,"2,720","1,375","1,345",-160,-169,-4,-146,小売業,名セ
3349,コスモス薬品,"279,021","226,035","52,986","13,329","14,517",-119,"7,737",小売業,東1
3352,バッファロー,"8,652","4,957","3,695",269,346,0,165,小売業,JQ
3353,メディカル一光,"19,576","17,298","2,278","1,214","1,151",49,624,小売業,JQ
3355,クリヤマ,"33,159","24,657","8,502","1,842","2,026",-43,"1,287",卸売業,東2
3356,テリロジー,"2,763","1,862",901,95,76,-1,72,卸売業,JQ
3358,ワイエスフード,"2,842",972,"1,870",27,14,-207,-200,小売業,JQ
3359,タイセイ,"3,355","2,196","1,159",93,127,-5,70,卸売業,福Q
3360,グリーンホスピタルサプライ,"188,839","161,760","27,079","10,132","11,251",-152,"7,026",卸売業,東1
3361,トーエル,"23,705","14,237","9,468","1,593","1,483",-15,724,小売業,JQ
3370,フジタコーポレーション,"8,189","3,419","4,770",77,6,-98,-124,小売業,JQ
3371,ソフトクリエイト,"8,891","6,022","2,869","1,082","1,113",-137,553,卸売業,HC
3372,関門海,"2,845",941,"1,904",544,544,-57,484,小売業,マザ
3374,内外テック,"16,195","14,510","1,685",218,170,-26,44,卸売業,JQ
3375,ＺＯＡ,"12,621","10,738","1,883",69,78,0,31,小売業,JQ
3376,オンリー,"7,009","2,558","4,451",898,915,-25,486,小売業,HC
3377,アイケイコーポレーション,"20,768","9,566","11,202",-227,-92,-122,-62,卸売業,東2
3382,セブン＆アイ・ホールディングス,"4,786,344","3,078,576","1,707,768","292,060","293,171","-62,354","129,837",小売業,東1
3384,アークコア,"4,026","2,452","1,574",178,190,-3,182,卸売業,名セ
3385,薬王堂,"45,570","34,465","11,105","2,310","2,444","-1,181",597,小売業,JQ
3386,コスモ・バイオ,"7,241","4,057","3,184",798,801,-27,411,卸売業,JQ
3387,クリエイト・レストランツ,"34,624","9,380","25,244","2,715","3,558","-1,212","1,314",小売業,マザ
3388,明治電機工業,"40,767","35,338","5,429",868,"1,010",-66,529,卸売業,JQ
3390,ユニバーサルソリューションシステムズ,"4,549","3,351","1,198",-517,-544,-365,-907,卸売業,JQ
3391,ツルハホールディングス,"320,969","230,174","90,795","19,067","19,948",-441,"10,594",小売業,東1
3392,デリカフーズ,"23,192","17,538","5,654",616,589,-78,235,卸売業,東2
3393,スターティア,"5,084","2,306","2,778",459,475,4,278,卸売業,マザ
3394,ネットワークバリューコンポネンツ,"2,664","1,513","1,151",123,123,-66,109,卸売業,マザ
3395,サンマルクホールディングス,"44,728","9,806","34,922","6,916","7,009",-468,"3,608",小売業,東1
3396,フェリシモ,"46,358","21,933","24,425","1,495","1,617",-273,651,小売業,東1
3397,トリドール,"61,075","15,734","45,341","6,743","6,497",-353,"3,050",小売業,マザ
3399,丸千代山岡家,"8,712","2,217","6,495",21,57,-224,-178,小売業,JQ
3401,帝人,"854,370","629,152","225,218","34,044","34,283","-6,450","11,979",繊維製品,東1
3402,東レ,"1,588,604","1,261,114","327,490","107,721","109,849","-8,758","64,218",繊維製品,東1
3405,クラレ,"368,975","246,539","122,436","54,733","53,940","-3,211","31,469",化学,東1
3407,旭化成,"1,573,230","1,178,969","394,261","104,258","107,567","-12,701","55,766",化学,東1
3408,サカイオーベックス,"21,679","18,136","3,543","1,381","1,556",-65,"1,395",繊維製品,東1
3409,北日本紡績,523,419,104,-11,-23,0,-15,繊維製品,東2
3420,ケー・エフ・シー,"22,046","17,260","4,786",603,552,-3,265,金属製品,大2
3422,丸順,"36,588","33,056","3,532",9,-345,-655,"-1,122",金属製品,名2
3423,エスイー,"15,405","11,446","3,959",371,393,-9,255,金属製品,JQ
3424,ミヤコ,"6,108","4,287","1,821",549,583,0,319,金属製品,JQ
3426,アトムリビンテック,"7,346","5,307","2,039",256,318,0,344,金属製品,JQ
3431,宮地エンジニアリンググループ,"17,915","16,028","1,887",393,396,-36,302,金属製品,東1
3433,トーカロ,"21,960","14,693","7,267","3,159","3,282",99,"1,983",金属製品,東1
3434,アルファ,"47,674","40,315","7,359","2,160","1,837",-703,"1,072",金属製品,東1
3435,サンコーテクノ,"13,851","9,610","4,241",583,583,-23,285,金属製品,JQ
3436,ＳＵＭＣＯ,"247,177","218,098","29,079",967,"-5,695","-49,942","-84,369",金属製品,東1
3437,特殊電極,"7,383","5,565","1,818",185,216,-16,76,金属製品,JQ
3439,三ツ知,"11,509","9,925","1,584",-51,-30,5,-163,金属製品,JQ
3440,日創プロニティ,"1,746","1,305",441,33,30,0,15,金属製品,福Q
3441,山王,"7,821","6,197","1,624",296,338,297,601,金属製品,JQ
3442,ＭＩＥコーポレーション,"5,222","4,339",883,72,17,0,20,金属製品,名2
3512,日本フエルト,"12,085","7,926","4,159","1,174","1,365",-107,742,繊維製品,東1
3513,イチカワ,"11,553","7,474","4,079",693,568,-21,606,繊維製品,東1
3514,日本バイリーン,"44,004","35,041","8,963",982,"2,021",-133,"1,373",繊維製品,東1
3515,フジコー,"8,595","7,055","1,540",31,117,0,20,繊維製品,JQ
3521,エコナック,"1,005",622,383,83,135,1,125,繊維製品,東1
3524,日東製網,"17,422","14,256","3,166",957,782,-91,325,繊維製品,東1
3526,芦森工業,"38,873","35,379","3,494",-659,-842,40,"-1,746",繊維製品,東1
3528,グローベルス,"11,633","10,060","1,573",308,154,-33,104,不動産業,東2
3529,アツギ,"22,971","14,770","8,201","1,069",648,-249,144,繊維製品,東1
3551,ダイニック,"40,325","32,484","7,841","1,223","1,144",-89,544,繊維製品,東1
3553,共和レザー,"29,934","26,053","3,881",-890,-940,-40,-958,化学,東1
3569,セーレン,"86,059","66,955","19,104","3,566","3,873",-29,"2,119",繊維製品,東1
3577,東海染工,"14,513","12,376","2,137",392,278,0,228,繊維製品,東1
3578,倉庫精練,"5,390","4,872",518,-38,56,-18,49,繊維製品,大2
3580,小松精練,"37,218","30,166","7,052","1,974","2,396",-108,"1,435",繊維製品,東1
3583,オーベクス,"3,795","2,557","1,238",343,315,-3,401,繊維製品,東2
3587,アイビーダイワ,"1,908","1,408",500,-496,-618,-199,-813,卸売業,JQ
3591,ワコールホールディングス,"171,897","81,895","90,002","10,377","10,207",0,"6,913",繊維製品,東1
3593,ホギメディカル,"31,873","15,711","16,162","7,750","7,825",-3,"4,624",繊維製品,東1
3597,自重堂,"18,355","12,268","6,087","2,510","2,833",-237,"1,468",繊維製品,東2
3598,山喜,"16,206","11,850","4,356",112,77,-9,31,繊維製品,大2
3599,コーコス信岡,"14,547","11,260","3,287",551,597,0,310,繊維製品,JQ
3600,フジックス,"6,291","4,510","1,781",-33,15,237,4,繊維製品,大2
3604,川本産業,"29,707","23,970","5,737",421,360,8,172,繊維製品,東2
3606,レナウン,"74,603","42,396","32,207",-320,-39,-525,-666,繊維製品,東1
3607,クラウディア,"14,704","5,005","9,699","1,084","1,108",599,909,繊維製品,東1
3708,特種東海ホールディングス,"77,674","63,172","14,502","3,271","3,988","-4,122",38,パルプ・紙,東1
3710,ジョルダン,"4,858","2,352","2,506",562,571,-79,159,情報・通信業,HC
3711,創通,"18,151","14,510","3,641","2,752","2,812",-176,"1,473",情報・通信業,JQ
3712,情報企画,"1,549",788,761,238,241,0,124,情報・通信業,マザ
3715,ドワンゴ,"36,243","22,382","13,861","1,345","1,284","-1,565",-506,情報・通信業,東1
3719,ＢＢＨ,"1,583","1,326",257,-163,-180,24,-159,情報・通信業,JQ
3723,日本ファルコム,"1,271",309,962,341,343,0,216,情報・通信業,マザ
3726,ＳＤホールディングス,"1,420",293,"1,127",-261,-260,1,-260,小売業,マザ
3727,アプリックス,"7,499","6,937",562,"-2,463","-2,466",-724,"-3,371",情報・通信業,マザ
3730,マクロミル,"14,229","7,145","7,084","3,082","2,975",39,"1,525",情報・通信業,東1
3733,ソフトウェア・サービス,"10,586","7,391","3,195","2,426","2,438",0,"1,398",情報・通信業,HC
3734,エム・ピー・テクノロジーズ,"3,107","2,531",576,-340,-706,26,-698,情報・通信業,マザ
3738,テレパーク,"712,683","646,860","65,823","14,873","14,843",-53,"7,933",情報・通信業,東1
3739,コムシード,926,566,360,-43,-55,-13,-87,情報・通信業,名セ
3741,セック,"3,084","2,185",899,304,435,-3,242,情報・通信業,JQ
3742,デュオシステムズ,492,279,213,15,15,120,132,情報・通信業,マザ
3744,サイオステクノロジー,"6,029","3,614","2,415",111,106,27,34,情報・通信業,マザ
3747,インタートレード,"2,811","1,943",868,-129,-104,146,7,情報・通信業,マザ
3750,セブンシーズホールディングス,"2,908","1,954",954,-26,-77,-44,-119,情報・通信業,東2
3751,ジー・エフ,"60,919","42,338","18,581",-699,"-2,527","4,376","2,507",情報・通信業,マザ
3752,ワイズマン,"8,390","6,410","1,980",-128,-190,-22,-528,情報・通信業,JQ
3753,フライトシステムコンサルティング,914,706,208,-280,-309,0,-294,情報・通信業,マザ
3754,エキサイト,"9,921","5,777","4,144",340,390,-36,348,情報・通信業,JQ
3756,豆蔵ＯＳホールディングス,"6,332","4,486","1,846",521,553,4,425,情報・通信業,マザ
3758,アエリア,"6,160","4,452","1,708",-835,-926,"1,456",480,情報・通信業,HC
3760,ケイブ,"2,694","1,212","1,482",-142,-146,-125,-274,情報・通信業,HC
3762,テクマトリックス,"15,279","10,014","5,265",971,"1,012",-24,431,情報・通信業,JQ
3763,プロシップ,"3,409","1,413","1,996","1,088","1,096",0,612,情報・通信業,JQ
3765,ガンホー・オンライン・エンターテイメント,"25,821","9,400","16,421","9,298","9,355",-696,"8,209",情報・通信業,HC
3766,システムズ・デザイン,"5,598","4,528","1,070",155,165,-17,62,情報・通信業,JQ
3768,リスクモンスター,"2,485","1,150","1,335",220,218,4,117,情報・通信業,HC
3769,ＧＭＯペイメントゲートウェイ,"4,708",710,"3,998","1,753","1,764",-37,960,情報・通信業,マザ
3770,ザッパラス,"10,088","3,246","6,842","2,583","2,594",-43,"1,579",情報・通信業,マザ
3771,システムリサーチ,"7,192","5,704","1,488",310,322,-3,170,情報・通信業,JQ
3772,ドリームバイザー・ドット・コム,497,310,187,-136,-147,-23,-203,情報・通信業,マザ
3773,アドバンスト・メディア,"1,239",469,770,-290,-250,"1,893","1,646",情報・通信業,マザ
3774,インターネットイニシアティブ,"97,315","77,329","19,986","6,353","5,976",0,"3,640",情報・通信業,東1
3775,ガイアックス,"3,830","2,364","1,466",-76,-79,155,68,情報・通信業,名セ
3776,ブロードバンドタワー,"15,811","13,779","2,032",427,410,-196,11,情報・通信業,HC
3777,ターボリナックス,107,52,55,-95,-95,35,-61,情報・通信業,HC
3778,さくらインターネット,"9,164","6,652","2,512",873,808,32,556,情報・通信業,マザ
3779,ジェイ・エスコム　ホールディングス,808,618,190,-15,-2,6,0,情報・通信業,JQ
3782,ディー・ディー・エス,628,188,440,35,58,-100,-43,情報・通信業,マザ
3784,ヴィンキュラム　ジャパン,"9,156","7,681","1,475",-89,-40,0,-36,情報・通信業,JQ
3787,テクノマセマティカル,753,90,663,-12,-8,0,-11,情報・通信業,マザ
3788,ＧＭＯホスティング＆セキュリティ,"9,409","4,000","5,409",971,971,-14,523,情報・通信業,マザ
3790,日本オフィス・システム,"10,370","8,138","2,232",244,241,-16,117,情報・通信業,JQ
3791,ＩＧポート,"5,499","4,728",771,97,69,-8,34,情報・通信業,JQ
3793,ドリコム,"7,187","3,423","3,764","1,353","1,348",-339,804,情報・通信業,マザ
3794,エヌ・デーソフトウェア,"8,974","4,132","4,842","2,317","2,321",-8,"1,282",情報・通信業,JQ
3796,いい生活,"2,118",705,"1,413",218,225,-27,89,情報・通信業,マザ
3798,ウルシステムズ,"3,302","2,434",868,208,209,98,175,情報・通信業,JQ
3799,キーウェアソリューションズ,"15,405","13,070","2,335",-528,-579,-509,"-1,154",情報・通信業,JQ
3800,ビーエスピー,"3,840",339,"3,501",869,892,-11,471,情報・通信業,JQ
3802,エコミック,523,378,145,11,14,0,7,情報・通信業,札ア
3803,イメージ情報開発,729,466,263,-6,6,-133,-118,情報・通信業,HC
3804,システム　ディ,"1,948","1,297",651,27,17,-155,-185,情報・通信業,HC
3807,フィスコ,"4,041","2,751","1,290",178,213,254,425,情報・通信業,HC
3810,サイバーステップ,"1,359",341,"1,018",55,44,45,36,情報・通信業,マザ
3811,ビットアイル,"14,747","10,233","4,514","2,746","2,472",-99,"1,336",情報・通信業,HC
3815,メディア工房,"2,640",847,"1,793",635,635,-8,346,情報・通信業,マザ
3816,大和コンピューター,"1,900","1,237",663,206,209,4,98,情報・通信業,JQ
3817,ＳＲＡホールディングス,"33,416","27,370","6,046","2,490","2,656",-178,"1,233",情報・通信業,東1
3822,ＪＳＣ,"13,205","11,596","1,609",542,555,204,424,情報・通信業,JQ
3824,メディアファイブ,918,601,317,-17,-10,-41,-53,情報・通信業,福Q
3825,リミックスポイント,251,116,135,-37,-10,30,16,情報・通信業,マザ
3826,システムインテグレータ,"2,065","1,290",775,297,288,-2,163,情報・通信業,マザ
3828,ニフティ,"91,959","69,201","22,758","5,373","5,280",-875,"2,494",情報・通信業,東2
3830,ギガプライズ,"1,954","1,416",538,127,124,-1,68,情報・通信業,名セ
3831,パイプドビッツ,"1,788",410,"1,378",227,226,8,139,情報・通信業,マザ
3832,Ｔ＆Ｃホールディングス,506,391,115,-420,-435,107,-328,情報・通信業,HC
3834,朝日ネット,"6,968","3,638","3,330","1,703","1,719",-4,"1,011",情報・通信業,東1
3835,ｅＢＡＳＥ,"2,655","1,568","1,087",315,343,0,203,情報・通信業,HC
3836,ディーバ,"4,101","2,165","1,936",410,384,0,191,情報・通信業,HC
3837,アドソル日進,"7,721","6,316","1,405",202,212,-5,77,情報・通信業,JQ
3839,ＯＤＫソリューションズ,"3,930","2,804","1,126",419,481,-10,234,情報・通信業,HC
3840,イー・キャッシュ,333,237,96,-53,-68,-175,-247,情報・通信業,マザ
3841,ジーダット,"1,331",338,993,-92,-9,0,-229,情報・通信業,JQ
3842,ネクストジェン,"2,112","1,385",727,88,83,0,83,情報・通信業,HC
3843,フリービット,"21,180","14,205","6,975",903,"1,027",-345,244,情報・通信業,マザ
3844,コムチュア,"5,526","4,362","1,164",463,489,-3,254,情報・通信業,JQ
3845,アイフリーク,"2,033","1,291",742,-374,-366,-9,-407,情報・通信業,HC
3847,パシフィックシステム,"7,659","6,086","1,573",237,245,-22,92,情報・通信業,JQ
3849,日本テクノ・ラボ,"1,233",743,490,140,141,-20,78,情報・通信業,札ア
3850,ＮＴＴデータイントラマート,"3,416","2,012","1,404",342,345,0,182,情報・通信業,マザ
3851,日本一ソフトウェア,"2,460","1,237","1,223",320,326,-26,215,情報・通信業,JQ
3852,サイバーコム,"6,483","5,254","1,229",230,268,-3,90,情報・通信業,JQ
3853,インフォテリア,"1,294",186,"1,108",182,190,-12,155,情報・通信業,マザ
3856,リアルコム,"1,336","1,009",327,92,52,-10,31,情報・通信業,マザ
3857,ラックホールディングス,"31,595","24,563","7,032","1,895","1,672",-79,660,情報・通信業,HC・
3858,ユビキタス,915,261,654,63,64,6,-18,情報・通信業,NEO
3859,シナジーマーケティング,"3,403","1,764","1,639",230,283,-14,128,情報・通信業,HC
3861,王子製紙,"1,212,912","946,000","266,912","53,780","48,375","-8,490","22,177",パルプ・紙,東1
3864,三菱製紙,"194,856","163,507","31,349","2,164",888,"-2,354",565,パルプ・紙,東1
3865,北越製紙,"230,575","188,238","42,337","10,828","13,906","-1,586","12,796",パルプ・紙,東1
3877,中越パルプ工業,"100,637","80,005","20,632","3,669","3,515","-1,139","1,100",パルプ・紙,東1
3878,巴川製紙所,"34,699","29,366","5,333",297,282,-157,189,パルプ・紙,東1
3880,大王製紙,"408,985","334,241","74,744","10,483","4,748","-10,438","-5,321",パルプ・紙,東1
3891,ニッポン高度紙工業,"12,243","9,774","2,469",692,693,-81,317,パルプ・紙,JQ
3895,ハビックス,"8,310","6,550","1,760",444,444,-5,233,パルプ・紙,JQ
3941,レンゴー,"492,628","406,432","86,196","25,068","24,592","-13,320","7,148",パルプ・紙,東1
3943,大石産業,"16,886","13,417","3,469",612,846,2,414,パルプ・紙,福岡
3944,古林紙工,"15,185","12,760","2,425",241,128,0,1,パルプ・紙,大2
3945,スーパーバッグ,"33,596","28,326","5,270",130,141,-1,21,パルプ・紙,東2
3946,トーモク,"138,845","111,292","27,553","6,853","7,118",-53,"3,900",パルプ・紙,東1
3947,ダイナパック,"45,737","37,983","7,754","1,584","1,930",-356,"1,324",パルプ・紙,東2
3950,ザ・パック,"84,554","65,643","18,911","5,036","5,261",96,"3,009",パルプ・紙,東1
3951,朝日印刷,"29,776","23,110","6,666","2,095","2,290",44,"1,186",パルプ・紙,東2
3952,中央紙器工業,"12,864","9,559","3,305","1,420","1,469",-16,830,パルプ・紙,名2
3953,大村紙業,"5,022","3,513","1,509",408,420,-39,187,パルプ・紙,JQ
3954,昭和パックス,"18,928","15,763","3,165",778,892,-10,484,パルプ・紙,JQ
3955,イムラ封筒,"21,263","16,978","4,285",-47,79,50,-36,パルプ・紙,東2
3956,国際チャート,"3,002","2,087",915,86,86,-235,-113,パルプ・紙,JQ
4003,コープケミカル,"21,595","17,720","3,875",629,506,-381,-51,化学,東1
4004,昭和電工,"739,811","628,627","111,184","28,108","23,448","-12,161","9,368",化学,東1
4005,住友化学,"1,947,884","1,418,464","529,420","60,688","50,714","-26,768","5,587",化学,東1
4007,日本化成,"32,905","27,117","5,788",565,963,301,372,化学,東1
4008,住友精化,"68,194","52,662","15,532","4,271","4,062",-937,"2,090",化学,東1
4021,日産化学工業,"148,578","97,999","50,579","15,477","15,873",650,"10,975",化学,東1
4022,ラサ工業,"20,975","15,550","5,425","1,553","1,189",-32,"1,384",化学,東1
4023,クレハ,"128,358","93,368","34,990","8,472","7,867","-4,679","1,460",化学,東1
4025,多木化学,"33,252","25,340","7,912","1,956","2,027",158,"1,318",化学,大1
4026,神島化学工業,"16,951","12,767","4,184",409,251,-76,100,ガラス・土石製品,大2
4027,テイカ,"34,480","26,314","8,166","3,462","3,413",-346,"1,739",化学,東1
4028,石原産業,"102,378","71,809","30,569","9,760","8,012","-1,328","2,951",化学,東1
4031,片倉チッカリン,"19,938","15,615","4,323",775,834,-342,184,化学,東1
4033,日東エフシー,"17,213","13,047","4,166","2,147","2,559","-1,650",-109,化学,東2
